method	true_pathogenic	false_pathogenic	true_benign	false_benign	discovered_pathogenic	discovered_benign	sensitivity	specificity
isv	3821	26	4271	43	91.76272814601344	85.76305220883535	98.8871635610766	99.39492669304165
marcnv	2219	15	320	0	53.29010566762728	6.42570281124498	100.0	95.52238805970148
classifycnv	2122	11	730	2	50.96061479346782	14.65863453815261	99.90583804143127	98.51551956815115
classifycnv_isv	3337	20	1318	2	80.13928914505283	26.46586345381526	99.94010182689428	98.50523168908819
marcnv_isv	3468	23	1270	2	83.28530259365995	25.502008032128515	99.94236311239193	98.22119102861562
